Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000237232,ZNF295-AS1,0.0,-0.9153037595684115,1.0,0.0,1.1745750599456954,1.0,0.0,1.6167480080950494,1.0,0.006340183646698732,4.034721575314117,0.5733324205060139,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000177398,UMODL1,0.0,-1.9153037595684106,0.561265958371603,0.0,0.17457505994569544,1.0,0.0,0.6167480080950494,1.0,0.0,1.0347215753141166,1.0,0.0,2.4279243891018822,1.0,0.0,3.3396404459025018,1.0,0.07816711590296496,6.337040469297801,0.10092734436740455,0.6170212765957447,8.533705411906698,0.3913853635380453
ENSG00000184385,UMODL1-AS1,0.008482839313572542,2.892051162489193,0.07474297053812268,0.0,-0.6327798621119083,1.0,0.0,-0.19060691396255525,1.0,0.0,0.22736665325651195,1.0,0.0,1.6205694670442776,1.0,0.0,2.532285523844897,1.0,0.0,2.94472304651904,1.0,0.0,6.311312990570249,1.0
ENSG00000160179,ABCG1,0.016965678627145084,-1.9427844959905172,0.0043213255909093995,0.030342662830238034,-0.4883899527767346,1.0,0.07859078590785908,1.0895010052301801,0.47641969065012624,0.10778312199387845,1.6196840760352718,0.18874711099608638,0.14108108108108108,1.9424975619316402,0.38003985114082167,0.05852674066599395,0.9473230231237415,1.0,0.0,-0.2702898444518098,1.0,0.0,3.0963000995993983,1.0
ENSG00000160183,TMPRSS3,0.0,-1.5002662602895667,0.7594410136449208,0.0075856657075595085,3.7595375606668506,0.2709325246334114,0.0,1.0317855073738933,1.0,0.0,1.4497590745929587,1.0,0.0,2.8429618883807244,1.0,0.0,3.7546779451813457,1.0,0.0,4.1671154678554885,1.0,0.0,7.5337054119066975,1.0
ENSG00000160185,UBASH3A,0.0014138065522620903,-5.219084507745514,1.4013966061487763e-10,0.14412764844363066,2.067659856029183,0.0032900815629195467,0.07367886178861788,0.5943801950665946,0.8700508496469497,0.10778312199387845,1.227366653256511,0.4648532899828192,0.0,-1.8940037057854804,1.0,0.1170534813319879,1.4136410273462783,1.0,0.15633423180592992,1.826078550020421,1.0,0.0,2.796739817740491,1.0
ENSG00000160188,RSPH1,0.0,-0.9153037595684115,1.0,0.0,1.1745750599456954,1.0,0.004911924119241192,3.6167480080950494,0.5362352170549842,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000160190,SLC37A1,0.03393135725429017,-1.6808385059313875,0.004091895691104506,0.14033481558985092,1.252577571946968,0.1629712033043356,0.09332655826558264,0.44682300665273633,0.9635782533597896,0.07608220376038478,0.13524845126808005,1.0,0.1254054054054054,0.9396379077923993,1.0,0.20484359233097882,1.6672151039310061,1.0,0.0,-1.016106356200282,1.0,0.6170212765957447,3.363780410464385,1.0
ENSG00000160191,PDE9A,0.0014138065522620903,-2.8221943551769293,0.02766213689066599,0.0075856657075595085,-0.0478173613907531,1.0,0.03438346883468835,2.446823006652737,0.13363218279104913,0.0,-0.9652784246858843,1.0,0.0,0.42792438910188135,1.0,0.14631685166498487,4.465171327986361,0.03409479696075019,0.0,1.7520779685766446,1.0,0.0,5.118667912627854,1.0
ENSG00000160193,WDR4,0.022620904836193445,-0.9977659197603828,0.24026716827802688,0.030342662830238034,-0.11493155724928972,1.0,0.014735772357723576,-0.997961836020159,0.7933818146542891,0.08242238740708352,1.5566742785094712,0.27571001862104677,0.15675675675675674,2.495038584960419,0.10411206926829068,0.0,-0.3607992722385909,1.0,0.03908355795148248,1.079652626605149,1.0,0.0,3.418228194486761,1.0
