Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000159110,IFNAR2,0.2988705882352941,-0.015952843747546686,1.0,0.32809753954305804,0.16975365348621452,0.9852565331032264,0.2985007831729693,-0.004340800134051692,1.0,0.17547398144413068,-0.7391814156882186,1.0,0.5272727272727272,0.8915275656160591,1.0
ENSG00000223799,IL10RB-DT,0.07915294117647058,2.407258586976997,0.00015434150604676006,0.009556239015817224,-2.182762761234571,0.05437240574463929,0.019467442380845825,-1.274632760106135,0.3570549739622578,0.011698265429608713,-1.0987238023753587,1.0,0.0,0.2092678635399876,1.0
ENSG00000243646,IL10RB,0.5991058823529412,1.390367438430188,0.002195981559353661,0.2038664323374341,-1.1954856126744782,0.16446197929773415,0.2303647348400089,-0.9954786889090641,0.29148640890893013,0.3275514320290439,-0.32570747464293004,1.0,0.11717171717171716,-1.3332593708607718,1.0
ENSG00000142166,IFNAR1,0.32752941176470585,-0.051430739102263034,1.0,0.21660808435852374,-0.7406506187973001,0.6164831273853919,0.3990825688073394,0.3416939115243567,0.7671735746595035,0.5849132714804356,0.8896749113458774,0.6467409798141899,0.29292929292929293,-0.010134515190648452,1.0
ENSG00000159128,IFNGR2,0.8966117647058823,2.0605887111254466,2.4027975694873807e-06,0.06689367311072057,-3.30829364331843,6.751329026979814e-06,0.1979189975385992,-1.7051002999545843,0.02653200733455611,0.7954820492133924,0.5561668803036255,0.9638829573098601,0.29292929292929293,-0.7554566617124817,1.0
ENSG00000142188,TMEM50B,0.16376470588235292,-0.7117994505881606,0.2087971843807484,0.1943101933216169,-0.1785257683481003,1.0,0.36014768404564773,1.023167063888336,0.09437650524922807,0.21056877773295682,0.017498031856404417,1.0,0.29292929292929293,0.6219840509087107,1.0
ENSG00000177692,DNAJC28,0.004094117647058824,0.9840471562524531,0.7893398602148434,0.0,-0.46029673676348004,0.9852565331032264,0.003244573730140971,0.8952922413361781,1.0,0.0,1.6668109439876186,1.0,0.0,3.995864225430794,1.0
ENSG00000159131,GART,0.10781176470588234,-0.53951479980456,0.43406034531857773,0.14015817223198596,0.12466576395767648,1.0,0.15898411277690755,0.359239341095968,0.7751154459379237,0.1988705123033481,0.6910584902342953,0.9476292942470294,0.23434343434343433,1.0698648068745713,1.0
ENSG00000159140,SON,1.270541176470588,-0.49938806766140115,0.4000958179042509,1.8889499121265378,0.3955909554109356,0.7115374582104047,1.7131349295144325,0.20601422213191312,0.8949754603201812,1.7781363453005241,0.22237252826821508,1.0,1.6989898989898988,0.11811997548179265,1.0
ENSG00000159147,DONSON,0.021835294117647057,-0.6289297206382995,0.5576949783426464,0.012741652021089631,-1.064368060432341,0.6164831273853919,0.06489147460281941,1.8281780454776406,0.04026242070518848,0.011698265429608713,-0.3688129657431034,1.0,0.0,0.9254748975393969,1.0
ENSG00000205758,CRYZL1,0.14192941176470586,-0.47163232752373707,0.5128989927894505,0.18156854130052724,0.14218352521570576,1.0,0.18169612888789435,0.14321975477976334,0.9920707643842852,0.33924969745865263,1.1208425748823254,0.5758244892082302,0.05858585858585858,-0.6305749112665207,1.0
ENSG00000205726,ITSN1,0.06687058823529411,5.627903346027178,2.910374724374766e-09,0.0,-3.7822248316508427,0.006831025480534999,0.0,-3.748563948438547,0.006594517140274076,0.0,-1.655117150899744,1.0,0.0,0.6739361305434324,1.0
ENSG00000241837,ATP5PO,1.344235294117647,-0.2177139323118642,0.7116689667022533,1.2900922671353252,-0.21618411880344096,1.0,1.778026404117252,0.3784871150471802,0.6978064888032189,1.7664380798709154,0.29415204697932584,1.0,1.6989898989898988,0.1953956889584304,1.0
ENSG00000237945,LINC00649,0.004094117647058824,-4.9348160810221415,9.090690597021918e-13,0.18793936731107205,1.746154140703947,0.004983886840049051,0.19467442380845823,1.826029578899064,0.003263670560948437,0.0,-2.9654572715118945,0.6182383340380203,0.05858585858585858,0.3752778149789169,1.0
ENSG00000273102,AP000569.1,0.0,-1.015952843747547,0.6909119679096908,0.0,0.8616313581238817,1.0,0.003244573730140971,2.895292241336178,0.5601710947182696,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000243927,MRPS6,0.2920470588235294,-0.5109339776310375,0.4193625988708212,0.5638181019332162,0.9279738529525784,0.15260999724140464,0.2757887670619825,-0.43333050612519264,0.8592201325092356,0.3626462283178701,0.06392653526919956,1.0,0.5272727272727272,0.6510357284333534,1.0
ENSG00000198743,SLC5A3,0.09825882352941176,-0.2855599035048271,0.6970579944427926,0.07644991212653779,-0.5819752933517321,0.7935095413366263,0.17196240769747145,0.9087127570984994,0.22323139267156558,0.0935861234368697,-0.08926347312629268,1.0,0.11717171717171716,0.5989740728622102,1.0
ENSG00000227456,LINC00310,0.0,-1.600915344468703,0.5128989927894505,0.0063708260105448155,3.4465938588450378,0.2702352366855215,0.0,0.31032974061502117,1.0,0.0,2.4037765381538243,1.0,0.0,4.7328298195970016,1.0
ENSG00000214955,AP000317.1,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000205670,SMIM11A,0.0,-3.185877845189859,0.05239820004842482,0.0031854130052724077,-0.13836864187611742,1.0,0.009733721190422913,1.310329740615022,0.6469722466831875,0.04679306171843485,3.9887390388749804,0.13666680609058335,0.0,3.1478673188758446,1.0
ENSG00000180509,KCNE1,0.0764235294117647,5.816937170417194,4.028602308961052e-10,0.0,-3.9712586560408596,0.002483608836485126,0.0,-3.937597772828564,0.0036466553203228376,0.0,-1.844150975289761,0.9675557903738721,0.0,0.48490230615341545,1.0
ENSG00000159200,RCAN1,0.07915294117647058,0.7792273643639551,0.2787278223079359,0.04778119507908612,-0.4051551825710189,0.9852565331032264,0.035690311031550674,-0.8595952608272905,0.5601710947182696,0.07018959257765227,0.36982920623048665,1.0,0.05858585858585858,0.8099976801194608,1.0
ENSG00000159212,CLIC6,0.0,-1.600915344468703,0.5128989927894505,0.0031854130052724077,1.8616313581238817,0.7935095413366263,0.003244573730140971,1.8952922413361781,0.7671735746595035,0.0,2.4037765381538243,1.0,0.0,4.7328298195970016,1.0
ENSG00000159216,RUNX1,0.22654117647058822,0.1779268898464883,0.800220001081277,0.24846221441124783,0.2950473867175809,0.8417283058734844,0.16871783396733048,-0.3991551171290775,0.8949754603201812,0.14037918515530454,-0.5396399334798088,1.0,0.17575757575757575,0.04632929241378214,1.0
ENSG00000185917,SETD4,0.05185882352941176,-0.6374412204938169,0.4092539404202526,0.06689367311072057,0.05427643606627841,1.0,0.09409263817408815,0.6936583801665273,0.5568204372475499,0.0935861234368697,0.6668109439876178,1.0,0.05858585858585858,0.7178794781310294,1.0
ENSG00000159228,CBR1,0.24018823529411762,0.3748371092846199,0.6119732617911402,0.15289982425307558,-0.5625777870532116,0.7707781704388962,0.2303647348400089,0.15832664716997158,0.979183263311739,0.15207745058491326,-0.4230745595295766,1.0,0.11717171717171716,-0.3687082068650618,1.0
ENSG00000236830,CBR3-AS1,0.0232,-0.5464675604463265,0.6238403563388105,0.0063708260105448155,-1.9109581457730451,0.22729221584198453,0.07462519579324232,2.158326647169971,0.0051734920146816596,0.0,-1.4375257158271175,1.0,0.0,0.8915275656160588,1.0
ENSG00000159231,CBR3,0.002729411764705882,-3.890421961663688,1.1287344619777433e-06,0.015927065026362038,-0.9109581457730451,0.6905859235897052,0.10382635936451107,3.1323314386370273,1.2927526704503798e-05,0.07018959257765227,1.474165866045222,0.6182383340380203,0.0,0.7942303642611437,1.0
ENSG00000142197,DOP1B,0.11872941176470587,-0.18587784518985906,0.8034599820885031,0.05733743409490334,-1.2827585512112916,0.23638714198949806,0.06813604833296039,-1.0115983542723406,0.4183531427675785,0.690197660346914,2.9069449477113327,0.00011665426251070507,0.0,-1.2213664907898747,1.0
ENSG00000273199,AP000692.2,0.004094117647058824,-1.185877845189859,0.4845261298006753,0.009556239015817224,0.6917063566815695,0.9536123378619852,0.016222868650704853,1.6728998199997305,0.3772028169663097,0.0,0.4037765381538243,1.0,0.0,2.7328298195970007,1.0
ENSG00000159256,MORC3,0.24564705882352939,0.04926481569893415,1.0,0.21660808435852374,-0.18466229415005264,1.0,0.23685388230029086,-0.024537409979838998,1.0,0.33924969745865263,0.5557796315988739,1.0,0.11717171717171716,-0.5525723992652476,1.0
ENSG00000228107,AP000692.1,0.009552941176470587,-1.4753844623848442,0.13161943400069195,0.0063708260105448155,-1.3082936433184305,0.6164831273853919,0.03893488476169165,1.5082691182269308,0.19977116528639297,0.08188785800726098,2.529307420237683,0.21814329294879897,0.0,1.4598113251905849,1.0
ENSG00000159259,CHAF1B,0.004094117647058824,-1.3378809386349095,0.3180140210197011,0.012741652021089631,1.0136344515689322,0.7707781704388962,0.016222868650704853,1.4802547420573342,0.4112048534202538,0.0,0.28829932073388864,1.0,0.0,2.617352602177065,1.0
ENSG00000233818,AP000695.2,0.0,-1.015952843747547,0.6909119679096908,0.0031854130052724077,2.8616313581238817,0.6164831273853919,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000159267,HLCS,0.027294117647058823,-0.43099034302638994,0.6909119679096908,0.0414103690685413,0.5397032632365208,0.8176529458382608,0.035690311031550674,0.270801376428385,1.0,0.035094796288826134,0.4968859425453056,1.0,0.0,0.7328298195970007,1.0
ENSG00000224790,AP000704.1,0.0,-2.600915344468703,0.14924810076029954,0.0063708260105448155,1.4465938588450378,0.7341058763206817,0.006489147460281942,1.4802547420573342,0.6978064888032189,0.011698265429608713,2.6668109439876186,0.9638829573098601,0.0,3.7328298195970007,1.0
ENSG00000183145,RIPPLY3,0.0,-1.015952843747547,0.6909119679096908,0.0031854130052724077,2.8616313581238817,0.6164831273853919,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000185808,PIGP,0.12691764705882352,-0.7374883973441473,0.20190553305271317,0.11786028119507909,-0.6115403171397169,0.7313643719445612,0.33419109420452,1.4158228694623354,0.01294254804551546,0.10528438886647841,-0.5901996742184057,1.0,0.29292929292929293,0.9779423174335322,1.0
ENSG00000182670,TTC3,0.5240470588235294,-0.5487717255053151,0.3547975974965417,0.624340949033392,-0.057413437769264886,1.0,0.9084806444394717,0.6612121000494121,0.3570549739622578,0.7954820492133924,0.3274256520237092,1.0,0.703030303030303,0.15869725207659624,1.0
ENSG00000228677,TTC3-AS1,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000230366,DSCR9,0.0,-2.8233077658051506,0.09775809103194723,0.0031854130052724077,0.2766688574027265,1.0,0.006489147460281942,1.1583266471699716,0.7671735746595035,0.023396530859217425,3.2517734447087747,0.5470168431925464,0.05858585858585858,4.732829819597001,1.0
ENSG00000157538,VPS26C,0.15148235294117646,-0.19728260846210866,0.7893398602148434,0.12423110720562391,-0.453065167532404,0.8479158686169799,0.220631013649586,0.5944257619766451,0.5355971379836578,0.1871722468737394,0.28178601377521373,1.0,0.17575757575757575,0.4412753737531574,1.0
ENSG00000272948,AP001412.1,0.0,-2.8233077658051506,0.08513392898348504,0.0031854130052724077,0.2766688574027265,1.0,0.0,-0.9120626807214265,0.979183263311739,0.0,1.1813841168173767,1.0,0.29292929292929293,7.902754821039314,0.00024058272369064965
ENSG00000287637,AP001437.2,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000273210,AP001437.1,0.004094117647058824,-1.600915344468703,0.18999489478783607,0.0063708260105448155,-0.25384585929605397,1.0,0.022712016110986794,1.8952922413361781,0.16818470552418777,0.011698265429608713,1.1813841168173767,1.0,0.05858585858585858,3.510437398260553,1.0
ENSG00000157540,DYRK1A,0.21835294117647058,-0.11130072033502758,0.9157129397685951,0.2835017574692443,0.4286719508477761,0.7287339832964915,0.19142985007831725,-0.29057430397515605,1.0,0.23396530859217424,0.09565424279149193,1.0,0.17575757575757575,-0.044151453417084596,1.0
