Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000287109,AP000224.1,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.011783827712312067,4.999782710287881,0.5412616290014084
ENSG00000154723,ATP5PF,1.2281551116333727,0.06291233866846938,0.9887311566239362,1.0015556938394523,-0.3324923561714067,0.941743306303728,1.3997524752475248,0.28302555272808816,0.803323258108504,1.048760666395774,-0.20880391152353683,1.0
ENSG00000154727,GABPA,0.11177438307873092,0.015827764101226993,1.0,0.10827629122588675,-0.02375275539663102,1.0,0.10441044104410441,-0.08350877223315134,1.0,0.1414059325477448,0.46181768910389387,1.0
ENSG00000142192,APP,0.48935370152761465,1.312620095190212,0.0066960062506053976,0.07218419415059116,-2.5015320524594387,0.0008135490601892551,0.3197569756975698,-0.12333475272633976,1.0,0.23567655424624134,-0.520789203163321,1.0
ENSG00000233783,AP001442.1,0.0027262044653349003,1.5656008363600824,0.6864356254308278,0.0,0.1705160650254296,1.0,0.0,0.32055760922468934,1.0,0.0,2.4148202095667246,1.0
ENSG00000166265,CYYR1,0.0027262044653349003,-1.0193616643610737,0.5707650684652292,0.0,-1.2445214342534134,0.7937717820435477,0.016314131413141315,2.9055201099458454,0.06923942285317758,0.0,0.9997827102878807,1.0
ENSG00000154734,ADAMTS1,0.0,-2.3412897592484345,0.20108613295787842,0.012030699025098528,4.077406660633947,0.03891639293836298,0.0,-0.4164079849415172,0.9844453913696287,0.0,1.6778546154005172,1.0
ENSG00000154736,ADAMTS5,0.025898942420681553,3.302566430526289,0.0066960062506053976,0.0,-2.636838857032174,0.2423790178813337,0.0032628262826282627,-1.4164079849415172,0.6560939282423981,0.0,-0.39253471249088,1.0
ENSG00000232079,LINC01697,0.0,-1.0193616643610728,0.6864356254308278,0.003007674756274632,2.755478565746585,0.6138772142059038,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000232855,AF165147.1,0.0,-2.604324165082229,0.12731886024750366,0.01503837378137316,4.340441066467741,0.01500049307517224,0.0,-0.6794423907753107,0.9844453913696287,0.0,1.4148202095667237,1.0
ENSG00000156239,N6AMT1,0.012267920094007052,-1.4523210716371793,0.079193684967634,0.01804604853764779,-0.3440571078043293,1.0,0.05546804680468047,1.8275175979445724,0.0458492631207443,0.0353514831369362,0.9553885909294273,1.0
ENSG00000198862,LTN1,0.17175088131609872,0.015126712024217337,1.0,0.11128396598216138,-0.7313035410356674,0.6138772142059038,0.21860936093609362,0.47728311291214265,0.6278734647027645,0.22389272653392928,0.4699617637591853,1.0
ENSG00000156253,RWDD2B,0.020446533490011753,-0.7742491665245419,0.4136669354981339,0.054138145612943375,1.4184435784690148,0.10244124606800978,0.016314131413141315,-0.7189707549619486,0.7733049082337926,0.0353514831369362,0.714380491425632,1.0
ENSG00000273254,AF129075.2,0.0013631022326674501,-2.019361664361073,0.17171350340492395,0.0,-1.4144464356957265,0.6373497982178742,0.02283978397839784,3.9055201099458454,0.00646693749771577,0.0,0.8298577088455676,1.0
ENSG00000156256,USP16,0.3584958871915394,-0.14489254644493244,0.8468239289565158,0.3518979464841319,-0.12342961733605273,1.0,0.43721872187218724,0.278432133552013,0.8288659873607435,0.4242177976432344,0.2008074538462492,1.0
ENSG00000156261,CCT8,0.6202115158636898,-0.24446337295550735,0.6864356254308278,0.6316116988176727,-0.12704859053242135,1.0,0.9168541854185419,0.5795050575352403,0.45065022272663013,0.48313693620479475,-0.49512048240174444,1.0
ENSG00000231125,AF129075.1,0.0027262044653349003,1.5656008363600824,0.6864356254308278,0.0,0.1705160650254296,1.0,0.0,0.32055760922468934,1.0,0.0,2.4148202095667246,1.0
ENSG00000286018,AF129075.3,0.0013631022326674501,-2.3412897592484345,0.09615449827598346,0.006015349512549264,0.1705160650254287,1.0,0.016314131413141315,1.9055201099458454,0.2964350227740775,0.023567655424624134,2.4148202095667237,0.7291069011237726
ENSG00000156265,MAP3K7CL,0.24944770857814338,1.2374137510010381,0.12731886024750366,0.17745281062020327,0.011317470176175348,1.0,0.026102610261026102,-2.9018348121117588,0.037956504604256924,0.1060544494108086,-0.6498327487755291,1.0
ENSG00000215533,LINC00189,0.017720329024676854,3.787993257696531,0.005025139109881921,0.0,-2.051876356311018,0.3118369667927154,0.0,-1.9018348121117583,0.43298400267580334,0.0,0.19242778823027606,1.0
ENSG00000156273,BACH1,0.5302467685076382,2.705325600026696,2.330652694482238e-09,0.09624559220078822,-1.9005670330360536,0.009921288680289216,0.052205220522052204,-2.7619045509672837,0.0003382520452470467,0.11783827712312067,-1.3155727306759957,1.0
ENSG00000248476,BACH1-IT1,0.0068155111633372515,0.9806383356389263,0.6864356254308278,0.0,-1.2445214342534134,0.7937717820435477,0.0,-1.0944798900541546,0.7733049082337926,0.023567655424624134,2.99978271028788,0.5691116461318511
ENSG00000273017,AP000240.1,0.04225616921269096,1.8107133341966142,0.03298335298362964,0.0,-3.566449529140776,0.020871041097173193,0.019576957695769576,-0.37458780924688906,1.0,0.023567655424624134,0.33681769756545066,1.0
ENSG00000232118,BACH1-AS1,0.0013631022326674501,-0.019361664361072783,1.0,0.003007674756274632,1.7554785657465848,0.7937717820435477,0.0,0.32055760922468934,1.0,0.0,2.4148202095667246,1.0
ENSG00000228817,BACH1-IT2,0.012267920094007052,2.302566430526289,0.11746120657382914,0.003007674756274632,-0.566449529140777,1.0,0.0,-1.553911508691452,0.6515106412806241,0.0,0.5403510916505834,1.0
ENSG00000273464,AP000238.1,0.0013631022326674501,-0.019361664361072783,1.0,0.0,0.1705160650254296,1.0,0.0032628262826282627,1.9055201099458454,0.7733049082337926,0.0,2.4148202095667246,1.0
ENSG00000156299,TIAM1,0.2467215041128085,1.2405054623940375,0.014360704248825299,0.11128396598216138,-0.7779536343344886,0.5792842857787793,0.1141989198919892,-0.7189707549619477,0.5648479394176176,0.0353514831369362,-1.9889019764842857,0.7557162248439122
ENSG00000237594,AP000251.1,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0032628262826282627,2.9055201099458454,0.5570374457211925,0.0,2.9997827102878807,1.0
ENSG00000234509,AP000253.1,0.0,-2.3412897592484345,0.29205002567721805,0.012030699025098528,4.077406660633947,0.09135105765538475,0.0,-0.4164079849415172,1.0,0.0,1.6778546154005172,1.0
ENSG00000142168,SOD1,0.5820446533490012,-1.399428195299958,0.0013091947958189796,1.3323999170296619,0.4492320930914926,0.6138772142059038,1.8304455445544554,1.1033084911642013,0.04360089488861474,1.2844372206420154,0.2973266465482834,1.0
ENSG00000273271,AP000254.2,0.013631022326674503,0.8551074535550676,0.6314312419099677,0.009023024268823895,0.055038847605493046,1.0,0.0065256525652565255,-0.31687231139060223,1.0,0.0,-0.00021728971211931736,1.0
ENSG00000156304,SCAF4,0.18810810810810813,-0.1388253309626446,0.8772998054962365,0.17745281062020327,-0.1831208895892713,1.0,0.16640414041404142,-0.28885793522100567,1.0,0.4713531084924827,1.3973327828378834,0.33060548632064785
ENSG00000273091,AP000255.1,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000159055,MIS18A,0.03544065804935371,-0.35193700344794454,0.6906317418432167,0.04511512134411948,0.2636254694169109,1.0,0.03915391539153915,0.02099732736578197,1.0,0.0707029662738724,1.0522501301820157,0.8188332737116788
