Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000159231,CBR3,0.0014109175829522234,-4.412888068477763,2.848976247346716e-07,0.021052631578947368,-0.3389691801475738,1.0,0.006035379812695109,-1.5366366489198047,0.8052184028371713,0.0967383246849518,1.9724792549784547,0.39338557670629215,0.1780233271945979,3.2618765289116674,0.00014162511275955325,0.01427868045297883,-0.2030788359033533,1.0,0.08529411764705881,1.7807027666763462,0.6961486653348881,0.07503234152652004,1.6229515937334336,1.0,0.0,2.4562183357753478,1.0,0.0,4.062390691461006,1.0
ENSG00000142197,DOP1B,0.11569524180208234,-0.2464352589422547,0.8248980397696679,0.03684210526315789,-1.7523956295204326,0.3699046880610609,0.054318418314255976,-1.1904610077857654,0.8266426588611249,0.2364714603409933,1.026014477158971,1.0,0.008901166359729895,-2.961382636242312,0.3368823722382217,0.3426883308714919,1.5927804473164213,0.6648677690663407,0.58,2.4346477740746546,0.030695732359747676,0.11254851228978006,0.008842747352760583,1.0,0.0,0.44062148072432894,1.0,0.0,2.0467938364099876,1.0
ENSG00000273199,AP000692.2,0.002821835165904447,-1.6580005663142936,0.3364931542645877,0.015789473684210527,1.5614951463015112,0.7621392668019796,0.030176899063475544,2.7328240260734216,0.2598719182249195,0.0,0.27504202499888564,1.0,0.008901166359729895,1.1105672056367029,1.0,0.0,0.7038117597051654,1.0,0.0,0.9683297698521178,1.0,0.0,1.1083784209036747,1.0,0.0,4.394817791111204,1.0,0.0,6.0009901467968625,1.0
ENSG00000159256,MORC3,0.24691057701663913,0.06266321552281218,1.0,0.21578947368421053,-0.1616646483396642,1.0,0.2655567117585848,0.17560651583517006,1.0,0.20422535211267603,-0.20177167186664802,1.0,0.1958256599140577,-0.2771266264762051,1.0,0.25701624815361895,0.14868448852477223,1.0,0.44352941176470584,0.9550329472386594,0.9321950162957119,0.09379042690815005,-1.1646400735027411,1.0,0.42028985507246375,1.1094155722489556,1.0,0.0,1.1224282742468383,1.0
ENSG00000228107,AP000692.1,0.009876423080665565,-1.3804665907853853,0.17766162976486438,0.010526315789473684,-0.4385048536984888,1.0,0.018106139438085325,0.2547767292687775,1.0,0.03224610822831727,1.15956480757895,1.0,0.05340699815837937,1.8537917902745908,0.4785216779333798,0.02855736090595766,1.1188492589840093,1.0,0.08529411764705881,2.553292270573274,0.43935786192806514,0.0,-0.16464007350274112,1.0,0.0,3.121799296704788,1.0,0.0,4.727971652390446,1.0
ENSG00000159259,CHAF1B,0.0042327527488566705,-1.2429630670354497,0.44818767540835897,0.005263157894736842,0.14645764702266817,1.0,0.0,-0.7452232707312225,1.0,0.0,0.15956480757894997,1.0,0.044505831798649476,3.1549613249951562,0.09216353708350447,0.0,0.5883345422852289,1.0,0.0,0.8528525524321813,1.0,0.05627425614489003,3.371412826737469,0.3906987869427021,0.0,4.279340573691268,1.0,0.0,5.885512929376926,1.0
ENSG00000233818,AP000695.2,0.0,-0.921034972148087,1.0,0.005263157894736842,3.7314201477438234,0.6169866601667687,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000159267,HLCS,0.03104018682494892,-0.09791273423216662,1.0,0.021052631578947368,-0.40608337600611044,1.0,0.054318418314255976,0.991742323434984,0.8242757029288525,0.0967383246849518,1.896530401745156,0.39338557670629215,0.0,-2.014963676447156,0.8224015099212966,0.01427868045297883,-0.2658145912513161,1.0,0.01705882352941176,-0.0012965811043637032,1.0,0.01875808538163001,0.13875206994719402,1.0,0.0,2.394817791111204,1.0,0.0,4.0009901467968625,1.0
ENSG00000224790,AP000704.1,0.0,-2.505997472869244,0.2733318045245077,0.005263157894736842,1.4094920528564616,1.0,0.018106139438085325,3.370253946688713,0.28566284833322136,0.0,1.2750420249988856,1.0,0.0,0.9850363235528441,1.0,0.0,1.7038117597051654,1.0,0.01705882352941176,3.231364175685912,1.0,0.0,2.1083784209036747,1.0,0.0,5.394817791111204,1.0,0.0,7.0009901467968625,1.0
ENSG00000183145,RIPPLY3,0.0,-0.921034972148087,1.0,0.005263157894736842,3.7314201477438234,0.6169866601667687,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000185808,PIGP,0.1255716648827479,-0.742064831102768,0.21525899385057867,0.10526315789473684,-0.7091524436421577,1.0,0.2655567117585848,0.774644201768049,0.6195555672015595,0.24722016308376574,0.6311858352241608,1.0,0.4361571516267649,1.577230393505076,0.11073931271291092,0.12850812407680948,-0.29016445266706503,1.0,0.05117647058823529,-1.3833456684292966,1.0,0.15006468305304008,-0.04362467254137492,1.0,0.21014492753623187,1.0314130602476823,1.0,1.1153846153846154,2.637585415933341,1.0
ENSG00000182670,TTC3,0.5234504232752749,-0.5366942700921602,0.3809000677877427,0.4631578947368421,-0.5292483526080687,1.0,1.0018730489073882,0.7408682397223224,0.6153805402226081,0.8491475166790214,0.43038856151830585,1.0,0.6230816451810927,-0.04678296482018274,1.0,0.9995076317085181,0.6719924713321389,1.0,0.7505882352941176,0.23618119198368703,1.0,0.8628719275549804,0.44218590115084966,1.0,1.2608695652173914,0.9183126591149653,1.0,0.0,-0.29209826521051807,1.0
ENSG00000228677,TTC3-AS1,0.0014109175829522234,1.078965027851913,0.7568060024606357,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000230366,DSCR9,0.0,-2.7283898942056917,0.17766162976486438,0.0,-0.07593477431378037,1.0,0.006035379812695109,1.3702539466887131,1.0,0.021497405485544845,3.123038931553836,0.8792546019436523,0.0,0.7626439022163956,1.0,0.0,1.4814193383687178,1.0,0.03411764705882352,3.8163266764070682,0.5007571097336173,0.0,1.885985999567227,1.0,0.21014492753623187,6.394817791111204,0.8849750110752775,0.0,6.778597725460415,1.0
ENSG00000157538,VPS26C,0.15237909895884014,-0.17521846039961586,0.9022090241680035,0.10526315789473684,-0.6444467542543424,1.0,0.24745057232049947,0.7254820507322537,0.6817965607791775,0.12898443291326908,-0.25973471855405394,1.0,0.1958256599140577,0.3386732781675441,1.0,0.2427375677006401,0.6707967024772026,1.0,0.11941176470588234,-0.29845677084278366,1.0,0.15006468305304008,0.017775872122768543,1.0,0.42028985507246375,1.6820997431916753,1.0,0.0,1.6911348842100753,1.0
ENSG00000272948,AP001412.1,0.0,-2.7283898942056917,0.15977139871794696,0.010526315789473684,1.9944545535776177,0.760965395898436,0.0,0.1478615253522655,1.0,0.0,1.052649603662438,1.0,0.008901166359729895,1.985036323552844,1.0,0.0,1.4814193383687178,1.0,0.0,1.7459373485156693,1.0,0.0,1.885985999567227,1.0,0.6304347826086957,7.97978029183236,0.018063846633860948,0.0,6.778597725460415,1.0
ENSG00000287637,AP001437.2,0.0014109175829522234,1.078965027851913,0.7568060024606357,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000273210,AP001437.1,0.0042327527488566705,-1.505997472869244,0.2852145491125511,0.0,-1.1754704478646945,1.0,0.012070759625390217,0.8397392299899336,1.0,0.0,-0.04688606988847699,1.0,0.01780233271945979,1.4545216068540636,0.984845200434528,0.08567208271787298,3.9262041810416135,0.03969479863167291,0.0,0.6464016749647552,1.0,0.0,0.786450326016312,1.0,0.21014492753623187,5.172425369774756,1.0,0.0,5.679062051909501,1.0
ENSG00000157540,DYRK1A,0.2158703901916902,-0.1380642087174424,0.9537388955446736,0.2,-0.18284997823029236,1.0,0.33194588969823097,0.6488292034182856,0.7622951270773102,0.11823573017049666,-0.8814624606811052,1.0,0.07120933087783916,-1.5999261771683124,0.740880342537678,0.47119645494830137,1.1522354274785556,0.8087010066826013,0.2729411764705882,0.3369743636465101,1.0,0.30012936610608015,0.4770230146980674,1.0,0.21014492753623187,0.6090928850251422,1.0,0.0,1.210913216171094,1.0
ENSG00000157551,KCNJ15,0.0042327527488566705,-0.505997472869244,1.0,0.0,-0.4385048536984888,1.0,0.006035379812695109,0.9552164474098701,1.0,0.0,0.6900795242777296,1.0,0.03560466543891958,3.569998824274001,0.3368823722382217,0.0,1.1188492589840093,1.0,0.0,1.3833672691309618,1.0,0.0,1.5234159201825186,1.0,0.0,4.809855290390048,1.0,0.0,6.416027646075706,1.0
ENSG00000157557,ETS2,0.2878271869222536,2.510517613913773,1.2903284474118877e-07,0.031578947368421054,-2.3438679795604136,0.10118311409470451,0.09656607700312174,-0.7774996737549786,0.9273380106363017,0.0967383246849518,-0.6822535240468763,1.0,0.026703499079189685,-2.3308679837067485,0.4483333816052841,0.0,-3.630088976848273,0.7038323113280058,0.01705882352941176,-2.359597065656688,1.0,0.01875808538163001,-2.2195484146051303,1.0,0.21014492753623187,1.0668909556023987,1.0,0.0,1.667089410243424,1.0
ENSG00000235888,AF064858.1,0.002821835165904447,1.663927528573069,0.55386922480155,0.0,1.1464576470226673,1.0,0.0,1.3702539466887131,1.0,0.0,2.2750420249988856,1.0,0.0,1.985036323552844,1.0,0.0,2.7038117597051654,1.0,0.0,2.968329769852118,1.0,0.0,3.1083784209036756,1.0,0.0,6.394817791111204,1.0,0.0,8.000990146796862,1.0
ENSG00000183527,PSMG1,0.07901138464532452,-0.6427338096609834,0.370395560818054,0.19473684210526315,1.1591686987722212,0.23569395971710388,0.06035379812695109,-0.7146349508977994,1.0,0.10748702742772423,0.19015312741237222,1.0,0.11571516267648864,0.27932166337107756,1.0,0.08567208271787298,-0.0737958189583865,1.0,0.1364705882352941,0.5734701525109038,1.0,0.15006468305304008,0.7135188035624616,1.0,0.21014492753623187,1.7606117713701985,1.0,0.0,2.3571339570221377,1.0
ENSG00000185658,BRWD1,0.22433589568940354,-0.6047314264546031,0.3363580676264328,0.30526315789473685,0.13024741984140875,1.0,0.37419354838709673,0.464890820826789,0.8949629335335565,0.6771682727946626,1.3964801524488615,0.39338557670629215,0.23143032535297728,-0.28244398731214226,1.0,0.28557360905957657,0.05173506312547205,1.0,0.25588235294117645,-0.0941661558816469,1.0,0.1875808538163001,-0.5125633769230478,1.0,0.21014492753623187,0.282812765598073,1.0,1.1153846153846154,1.8889851212837316,1.0
ENSG00000272991,AF129408.1,0.0,-1.505997472869244,0.7770330695639436,0.0,1.1464576470226673,1.0,0.012070759625390217,4.540178948131025,0.28329010877232835,0.0,2.2750420249988856,1.0,0.0,1.985036323552844,1.0,0.0,2.7038117597051654,1.0,0.0,2.968329769852118,1.0,0.0,3.1083784209036756,1.0,0.0,6.394817791111204,1.0,0.0,8.000990146796862,1.0
