Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000237232,ZNF295-AS1,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.006731662024141132,4.130736432233054,0.5152228380380514,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000177398,UMODL1,0.0,-1.9795475020834514,0.5599758217201678,0.0,0.39253047676140884,1.0,0.0,0.3018959967835171,1.0,0.0,1.1307364322330544,1.0,0.0,1.8192302290157167,1.0,0.5209580838323353,9.747781961930855,0.0005832058408119815,0.0,5.6002212384918,1.0
ENSG00000184385,UMODL1-AS1,0.008292427202973835,2.8278074199741523,0.08183670413999737,0.0,-0.414824445296194,1.0,0.0,-0.5054589252740866,1.0,0.0,0.3233815101754498,1.0,0.0,1.0118753069581121,1.0,0.0,4.940427039873251,1.0,0.0,4.792866316434196,1.0
ENSG00000160179,ABCG1,0.01796692560644331,-1.8726322981669403,0.005699458316984401,0.07312370216552952,0.9774929774825662,0.5335647410685088,0.04080484029829745,-0.02003209810384554,1.0,0.09424326833797585,1.3652016858700766,0.41382546643325446,0.10465535907614579,1.4973021341283546,0.44961660490335204,0.0,1.7254141489024,1.0,0.0,1.5778534254633452,1.0
ENSG00000160183,TMPRSS3,0.0,-1.5645100028046075,0.7707070897047287,0.0,0.8075679760402528,1.0,0.00816096805965949,3.886858497504673,0.2562078018489573,0.0,1.5457739315118983,1.0,0.0,2.2342677282945607,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000160185,UBASH3A,0.0013820712004956393,-5.283328250260554,6.954787846547136e-11,0.11183625037080985,1.3925304767614102,0.14508741824773583,0.1632193611931898,2.3375199065142382,0.0007948469674119945,0.07404828226555245,0.6071744761760405,1.0,0.0,-2.502697865871646,0.5689407815389251,0.17365269461077842,2.444001213753752,1.0,0.0,1.278293143604437,1.0
ENSG00000160188,RSPH1,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.006731662024141132,4.130736432233054,0.5152228380380514,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000160190,SLC37A1,0.03593385121288662,-1.5996994312669086,0.00577485771386782,0.06882230792049837,-0.05916549309628216,1.0,0.16729984522301955,1.6067505783119382,0.03346624872993225,0.053853296193129056,-0.35755004907642896,1.0,0.1465175027066041,1.1562652162932872,0.5499520400078941,0.17365269461077842,1.992894459767386,1.0,0.30851063829787234,2.4437167528118087,1.0
ENSG00000160191,PDE9A,0.0,-3.9795475020834514,0.003767889741911402,0.0,-1.6074695232385903,0.6363236020411615,0.0,-1.698104003216483,0.6708434865903403,0.10097493036211698,7.130736432233054,4.3613271063546654e-08,0.0,-0.18076977098428415,1.0,0.0,3.7477819619308543,1.0,0.0,3.6002212384917995,1.0
ENSG00000160193,WDR4,0.02349521040842587,-0.9389055175861065,0.29024677759524686,0.038712548205280334,0.28819381694667445,1.0,0.04080484029829745,0.3690101926420537,1.0,0.020194986072423395,-0.4839734118821548,1.0,0.12558643089137494,2.1977418522694463,0.10095644697183478,0.0,2.0473422437897626,1.0,0.0,1.8997815203507078,1.0
ENSG00000160194,NDUFV3,0.37454129533431824,0.7242110466928351,0.18833415543642354,0.2795906259270246,-0.10610722413537466,1.0,0.20402420149148726,-0.6255915034321151,0.8420471997427945,0.20194986072423396,-0.5874925993515667,1.0,0.18837964633706242,-0.6470877752068207,1.0,0.0,-1.0270050976703187,1.0,0.4627659574468085,0.8353496477557091,1.0
ENSG00000233056,ERVH48-1,0.0013820712004956393,-0.5645100028046075,1.0,0.0,0.39253047676140884,1.0,0.0,0.3018959967835171,1.0,0.013463324048282264,3.7156989329542105,0.42028183475126685,0.0,1.8192302290157167,1.0,0.0,5.747781961930855,1.0,0.0,5.6002212384918,1.0
ENSG00000160199,PKNOX1,0.06081113282180813,-0.2690541192784366,0.8077220066135992,0.1075348561257787,0.8835168292735518,0.5335647410685088,0.06120726044744618,-0.09042142599524317,1.0,0.07404828226555245,0.25626731431691274,1.0,0.020931071815229157,-1.1957201124502554,1.0,0.0,1.1184253418512453,1.0,0.15425531914893617,1.9855113943765916,1.0
