Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000156261,CCT8,0.7453030840127616,0.23840452227782183,0.745841594159775,0.6260529344073648,-0.22381268772276347,0.7097564233234522,0.6658367911479944,-0.021463628629654785,1.0
ENSG00000231125,AF129075.1,0.0,-1.0036066329855533,0.7670248881386019,0.002669735327963176,1.5042235947912737,0.6832156908177066,0.0,1.8230304298409958,1.0
ENSG00000286018,AF129075.3,0.0051400212690535275,-0.41864413226439723,0.9752589304677343,0.002669735327963176,-1.6657014066510385,0.2798799153947213,0.04011065006915629,3.407992930562153,0.07549502395136223
ENSG00000156265,MAP3K7CL,0.0805269998818386,-1.56839125176908,0.07951128880708734,0.2643037974683544,1.6016894042268912,0.03551179913771055,0.11230982019363761,-0.6276309791685688,1.0
ENSG00000215533,LINC00189,0.0,-3.225999054322002,0.03541518844708298,0.017353279631760643,3.7266160161277213,0.005238987148878644,0.0,-0.39936199149545093,1.0
ENSG00000156273,BACH1,0.059966914805624494,-2.938717102241531,7.83141792372108e-09,0.5232681242807825,2.73029167427112,2.409103958102047e-09,0.16044260027662516,-0.9411566330602339,1.0
ENSG00000248476,BACH1-IT1,0.0,-2.4186441322643972,0.22780249189809731,0.00667433831990794,0.9192610940701176,0.6832156908177066,0.016044260027662516,2.407992930562153,0.5442754001584958
ENSG00000273017,AP000240.1,0.0017133404230178426,-3.704046351126646,0.0004537569267230328,0.04138089758342923,1.7493360926278054,0.03440487965479183,0.056154910096818805,1.3635988112036994,0.4590712831131312
ENSG00000232118,BACH1-AS1,0.0017133404230178426,0.5813558677356028,1.0,0.001334867663981588,-0.08073890592988242,1.0,0.0,1.8230304298409958,1.0
ENSG00000228817,BACH1-IT2,0.0017133404230178426,-1.7405722271517599,0.26874610010402145,0.012013808975834291,2.24118918895748,0.1212643407173676,0.0,-0.05143868807514451,1.0
ENSG00000273464,AP000238.1,0.0017133404230178426,0.5813558677356028,0.8095997337367405,0.001334867663981588,-0.08073890592988242,1.0,0.0,1.8230304298409958,1.0
ENSG00000156299,TIAM1,0.11993382961124899,-0.8157914726473523,0.22780249189809731,0.24161104718066742,1.1791282208252283,0.021196099872846652,0.04011065006915629,-1.9843244922166074,0.36214619940379694
