Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000182670,TTC3,0.5248304841944418,-0.538527593511841,0.3879790991958398,0.5704689936427971,-0.21430698523977731,1.0,0.8854000868181161,0.5662573802288499,0.5357170875184053,0.9624082232011748,0.640840346984853,0.7969696145781112,0.8129595588235294,0.35827168197118964,1.0,0.703030303030303,0.15869725207659624,1.0
ENSG00000228677,TTC3-AS1,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.008516886930983847,4.501437290319437,0.5572150191643606,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000230366,DSCR9,0.0,-2.7813118036794675,0.17860147871497892,0.00347846947343169,0.4361790882009604,1.0,0.0041962089422659535,0.765127078711874,1.0,0.008516886930983847,1.91647478959828,1.0,0.026654411764705885,3.4484694909427684,0.5458521521764614,0.05858585858585858,4.732829819597001,1.0
ENSG00000157538,VPS26C,0.1467863623340655,-0.27688401457916934,0.7473883909242197,0.13566030946383592,-0.29355493673416966,1.0,0.2140066560555636,0.5036348376864859,0.6975017589106478,0.2299559471365639,0.5876930236698557,0.9900473246694578,0.14659926470588236,-0.056150901460784386,1.0,0.17575757575757575,0.4412753737531574,1.0
ENSG00000272948,AP001412.1,0.0,-2.7813118036794675,0.1575305623439819,0.00347846947343169,0.4361790882009604,1.0,0.0,-0.4572653426245745,1.0,0.0,0.6940823682618324,1.0,0.0,1.3780801630513704,1.0,0.29292929292929293,7.902754821039314,0.00024058272369064965
ENSG00000287637,AP001437.2,0.0013847770031515615,1.026043118378137,0.7473883909242197,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000273210,AP001437.1,0.004154331009454684,-1.558919382343019,0.2886073280178176,0.00347846947343169,-0.7862133331354872,1.0,0.02517725365359572,1.9875195000483226,0.19166952493322195,0.017033773861967694,1.3859600728995005,1.0,0.013327205882352942,1.3780801630513704,1.0,0.05858585858585858,3.510437398260553,1.0
ENSG00000157540,DYRK1A,0.21048610447903734,-0.20842213525888598,0.8452677577374585,0.29914837471512534,0.5215705794316052,0.644292897024643,0.17624077557517004,-0.40355475587980605,1.0,0.2469897209985316,0.1651539024550044,1.0,0.2532169117647059,0.21734433306371814,1.0,0.17575757575757575,-0.044151453417084596,1.0
ENSG00000157551,KCNJ15,0.008308662018909369,1.2484355397145848,0.6545613653040906,0.0,-1.1487834125201957,1.0,0.0041962089422659535,0.3500895794330301,1.0,0.008516886930983847,1.501437290319437,1.0,0.0,1.015510083666662,1.0,0.0,3.1478673188758446,1.0
ENSG00000157557,ETS2,0.29634227867443413,2.9668810459099935,9.727447814171294e-10,0.02782775578745352,-2.679298129218975,0.0023108935410028277,0.016784835769063814,-3.222800088987551,0.001591358993645636,0.11071953010279002,-0.5304115757199028,1.0,0.013327205882352942,-2.7274542511209874,0.7256667888743477,0.05858585858585858,-0.5950970159118047,1.0
ENSG00000235888,AF064858.1,0.002769554006303123,1.611005619099294,0.5911043091202796,0.0,0.4361790882009604,1.0,0.0,0.765127078711874,1.0,0.0,1.916474789598281,1.0,0.0,2.600472584387818,1.0,0.0,4.7328298195970016,1.0
ENSG00000183527,PSMG1,0.08170184318594212,-0.5748609262120405,0.461836327346345,0.16696653472472112,0.9634260910658297,0.2765446654328143,0.08812038778758502,-0.20170605735292702,1.0,0.05110132158590309,-0.8611327890652718,1.0,0.1332720588235294,0.5155836868013046,1.0,0.29292929292929293,1.7228457310243785,1.0
ENSG00000185658,BRWD1,0.23956642154522012,-0.45582588937891555,0.5586570218709686,0.30262684418855706,0.1186294338241729,1.0,0.38185501374620173,0.5293556275742264,0.6180021481982618,0.3321585903083701,0.26494467193813453,1.0,0.2665441176470588,-0.05160411219187533,1.0,0.29292929292929293,0.2197602373576304,1.0
ENSG00000272991,AF129408.1,0.0,-1.5589193823430199,0.7651415306687389,0.00695693894686338,3.6061040896432726,0.2975356742898654,0.0,0.765127078711874,1.0,0.0,1.916474789598281,1.0,0.0,2.600472584387818,1.0,0.0,4.7328298195970016,1.0
ENSG00000237373,BRWD1-IT1,0.0013847770031515615,-0.5589193823430199,1.0,0.00347846947343169,1.4361790882009604,0.9661073938646507,0.0,0.3500895794330301,1.0,0.008516886930983847,2.916474789598281,0.927673081560832,0.0,2.185435085108974,1.0,0.0,4.317792320318158,1.0
ENSG00000255568,BRWD1-AS2,0.00969343902206093,3.026043118378138,0.04766399377965445,0.0,-0.9788584110778835,0.8598001373389759,0.0,-0.6499104205669699,1.0,0.0,0.5014372903194371,1.0,0.0,1.185435085108974,1.0,0.0,3.3177923203181567,1.0
ENSG00000205581,HMGN1,0.7962467768121478,-1.3246505607358303,0.002513568481974775,1.683579225140938,0.33565221224699643,0.8299360286676019,2.1023006800752424,0.7301107868130674,0.33749633556979547,2.2058737151248167,0.722096744431429,0.7598131527835941,2.4655330882352944,0.8642828412975239,0.7968488084966189,2.2848484848484847,0.6703338938632367,1.0
ENSG00000182093,GET1,0.08308662018909369,0.04988986033250464,1.0,0.06956938946863381,-0.2303971780738472,1.0,0.046158298364925486,-0.8331322446227394,0.7856857036734372,0.16182085168869312,1.1651539024550042,0.5572150191643606,0.11994485294117647,0.7129473136462305,1.0,0.0,-0.5890982752903615,1.0
ENSG00000157578,LCA5L,0.0,-0.9739568816218629,1.0,0.00347846947343169,3.0211415889221165,0.6378627996713825,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000185437,SH3BGR,0.0,-3.55891938234302,0.0217592496161886,0.00695693894686338,0.2841759947559108,1.0,0.0041962089422659535,-0.10934203920426722,1.0,0.05110132158590309,3.723829711655884,0.047694566298229095,0.026654411764705885,2.4484694909427684,0.9002043863968799,0.0,2.7328298195970007,1.0
ENSG00000182240,BACE2,0.0013847770031515615,-4.2958849765092255,1.282704129891782e-05,0.00347846947343169,-2.3007865059652453,0.2765446654328143,0.0041962089422659535,-1.9718385154543325,0.3743254204380877,0.008516886930983847,-0.8204908045679256,1.0,0.4797794117647059,7.072960355850562,1.8330348520442645e-14,0.0,0.960240315700073,1.0
ENSG00000183844,FAM3B,0.0013847770031515615,1.026043118378137,0.7473883909242197,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000183486,MX2,0.3004966096838888,0.4105231506810112,0.6037213646837094,0.1704450041981528,-0.723019506648293,0.6953801379573643,0.2223990739400955,-0.26571032521071913,1.0,0.2895741556534508,0.17950919543207444,1.0,0.37316176470588236,0.5676826492701481,1.0,0.11717171717171716,-0.6746740069964356,1.0
ENSG00000157601,MX1,0.1897144494317639,-0.4653452670308216,0.5678588462935791,0.22262204629962817,-0.017186529736982425,1.0,0.15945593980610623,-0.5592650561269692,0.9514065578144634,0.4088105726872247,0.9714888916027624,0.5572150191643606,0.4797794117647059,1.1903173064887203,0.5458521521764614,0.4101010101010101,0.977942317433532,1.0
ENSG00000141956,PRDM15,0.024925986056728106,-0.185460986815575,1.0,0.017392347367158452,-0.5231789273016938,1.0,0.008392417884531907,-1.3128754332893982,0.5357170875184053,0.05110132158590309,1.2213293711267008,0.7598131527835941,0.10661764705882354,2.3553600865512863,0.1715364723799084,0.0,0.9958642254307941,1.0
ENSG00000227698,AP001619.1,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.008516886930983847,4.501437290319437,0.5572150191643606,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000157617,C2CD2,0.024925986056728106,0.4666157097641186,0.7473883909242197,0.02782775578745352,0.6061040896432734,0.9661073938646507,0.008392417884531907,-0.9718385154543316,0.7856857036734372,0.0,-1.498562709680563,1.0,0.026654411764705885,0.8635069902216115,1.0,0.05858585858585858,2.363596009931282,1.0
ENSG00000173276,ZBTB21,0.04431286410084997,-0.05884577920837586,1.0,0.06261245052177042,0.6543592582504942,0.7174069873314811,0.046158298364925486,0.12769715809658244,1.0,0.008516886930983847,-1.5429568290390172,0.977684966804051,0.05330882352941177,0.5300832564964195,1.0,0.0,0.2517031298603847,1.0
ENSG00000237232,ZNF295-AS1,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0041962089422659535,3.35008957943303,0.5357170875184053,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000177398,UMODL1,0.0,-1.973956881621863,0.5698505008709661,0.0,0.021141588922116483,1.0,0.0,0.3500895794330301,1.0,0.0,1.501437290319437,1.0,0.0,2.185435085108974,1.0,0.17575757575757575,8.317792320318159,0.0015104638110932367
ENSG00000184385,UMODL1-AS1,0.008308662018909369,2.8333980404357417,0.08241704842653078,0.0,-0.7862133331354872,1.0,0.0,-0.4572653426245745,1.0,0.0,0.6940823682618324,1.0,0.0,1.3780801630513704,1.0,0.0,3.510437398260553,1.0
ENSG00000160179,ABCG1,0.0180021010409703,-1.867041677705351,0.00556803314100874,0.034784694734316904,-0.30078650596524614,1.0,0.10490522355664883,1.72860120268676,0.04389790033899322,0.059618208516886935,0.6434562951918643,1.0,0.11994485294117647,1.7000082579387326,0.5366696498339311,0.0,0.2954245072897024,1.0
ENSG00000160183,TMPRSS3,0.0,-1.5589193823430199,0.7588891527718247,0.00347846947343169,2.0211415889221165,0.8299360286676019,0.0,0.765127078711874,1.0,0.008516886930983847,3.501437290319437,0.7800964352570041,0.0,2.600472584387818,1.0,0.0,4.7328298195970016,1.0
ENSG00000160185,UBASH3A,0.0013847770031515615,-5.277737629798967,8.881684796194581e-11,0.12522490104354084,1.7711633359137693,0.014107360168360379,0.10490522355664883,1.2691695840494628,0.15852757505976517,0.13627019089574155,1.5889001315697766,0.32814825695675937,0.0,-2.1364930097783876,1.0,0.05858585858585858,1.0140115721410536,1.0
ENSG00000160188,RSPH1,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.008516886930983847,4.501437290319437,0.5572150191643606,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000160190,SLC37A1,0.03461942507878903,-1.665834586259531,0.003871251093176098,0.08696173683579225,0.32926388428444886,0.9949778014606233,0.016784835769063814,-2.04222784334573,0.12589610799877152,0.38325991189427316,3.02499924637645,3.499134891975053e-05,0.10661764705882354,0.6971486037994916,1.0,0.05858585858585858,0.5629048181546885,1.0
ENSG00000160191,PDE9A,0.0,-3.973956881621863,0.003871251093176098,0.00347846947343169,-0.8857490066864022,1.0,0.058746925191723344,5.256980175041549,7.84282024498119e-06,0.0,-0.49856270968056293,1.0,0.0,0.1854350851089741,1.0,0.0,2.3177923203181567,1.0
ENSG00000160193,WDR4,0.022156432050424984,-1.056419041813836,0.19613410163583278,0.04869857262804366,0.68010467108705,0.7818524687829825,0.03356967153812763,0.060582962238044935,1.0,0.008516886930983847,-1.170988051652059,1.0,0.14659926470588236,2.4128455812120464,0.09784146378621025,0.05858585858585858,1.6453669783466616,1.0
ENSG00000160194,NDUFV3,0.36835068283831535,0.6604742953635931,0.26375330367950783,0.24697133261365,-0.3285696624787833,1.0,0.19302561134423385,-0.7100314130045406,0.7366999130535058,0.2725403817914831,-0.11950450750728603,1.0,0.21323529411764708,-0.4482012623478717,1.0,0.3515151515151515,0.37025974021229247,1.0
ENSG00000233056,ERVH48-1,0.0013847770031515615,-0.5589193823430199,1.0,0.0,0.021141588922116483,1.0,0.008392417884531907,2.935052080154187,0.4406120315661147,0.0,1.501437290319437,1.0,0.0,2.185435085108974,1.0,0.0,4.317792320318158,1.0
ENSG00000160199,PKNOX1,0.062314965141820264,-0.2052824277283185,0.8929635284246669,0.08000479788892888,0.3581765761996878,0.9661073938646507,0.09231659672985097,0.6068649947951417,0.6947863128148434,0.05110132158590309,-0.23036659873099108,1.0,0.026654411764705885,-0.8295152563569972,1.0,0.0,-0.3115642997614527,1.0
ENSG00000160201,U2AF1,0.10524305223951867,0.8665649043709402,0.1959296776741265,0.034784694734316904,-1.2876111172175122,0.34503720105789315,0.09651280567211692,0.35008957943303054,0.9514922705650649,0.017033773861967694,-1.7839649285428116,0.7957809130096776,0.09329044117647059,0.37808016305136993,1.0,0.0,-0.5770254429897865,1.0
ENSG00000286549,AP001631.2,0.0013847770031515615,1.026043118378137,0.7473883909242197,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000237989,LINC01679,0.0013847770031515615,0.02604311837813711,1.0,0.0,0.4361790882009604,1.0,0.0041962089422659535,2.35008957943303,0.7502997192701308,0.0,1.916474789598281,1.0,0.0,2.600472584387818,1.0,0.0,4.7328298195970016,1.0
ENSG00000142178,SIK1,0.004154331009454684,-0.7813118036794666,0.7651415306687389,0.00695693894686338,0.6061040896432726,1.0,0.0,-0.9718385154543325,0.8891224042818829,0.017033773861967694,2.086399791040593,0.7957809130096776,0.026654411764705885,2.77039758583013,0.7256667888743477,0.0,2.995864225430794,1.0
ENSG00000160207,HSF2BP,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.008516886930983847,4.501437290319437,0.5572150191643606,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000160208,RRP1B,0.10524305223951867,-1.2228701792110037,0.01692625479165156,0.2747990884011035,0.8512165874798046,0.2975356742898654,0.1972218202864998,0.2071316255909874,1.0,0.3321585903083701,1.0420056716821393,0.5572150191643606,0.19990808823529413,0.2546977475460874,1.0,0.11717171717171716,-0.10286972815456519,1.0
